label,answer
1,"luận văn tốt nghiệp có khối lượng 10 tín chỉ đối với chương trình đào tạo 140 tín chỉ, hoặc 15 tín chỉ đối với chương trình đào tạo từ 155 tín chỉ trở lên"
2,"sau khi hoàn thành luận văn, sinh viên phải bảo vệ trước hội đồng gồm 3 thành viên trong đó có cán bộ hướng dẫn sinh viên đó. Hội đồng bảo vệ luận văn do trưởng khoa quyết định"
3,"điểm luận văn tốt nghiệp là trung bình cộng của 3 thành viên hội đồng. Mỗi thành viên hội đồng có trọng số bằng nhau"
4,"tiểu luận tốt nghiệp có khối lượng 4 tín chỉ đối với chương trình đào tạo 140 tín chỉ, hoặc 6 tín chỉ đối với chương trình đào tạo từ 155 tín chỉ trở lên"
5,"tiểu luận tốt nghiệp do cán bộ hướng dẫn và 1 cán bộ khác chấm điểm, không phải bảo vệ trước hội đồng. Cán bộ chấm điểm do trưởng khoa quyết định"
6,"có thể không làm luận văn tốt nghiệp hoặc tiểu luận tốt nghiệp, nhưng sinh viên phải học thêm các học phần tự chọn để đủ số tín  chỉ theo yêu cầu của chương trình đào tạo"
7,"để nhận đề tài luận văn tốt nghiệp hay tiểu luận tốt nghiệp, sinh viên phải thỏa mãn các điều kiện do khoa quy định. Cuối mỗi học kỳ, khoa xét và công bố hình thức thực hiện cuối khóa cho sinh viên ở học kỳ tiếp theo"
8,"sinh viên làm luận văn tốt nghiệp hay tiểu luận tốt nghiệp đều phải đăng ký học phần như các học phần khác"
9,"bị điểm F luận văn tốt nghiệp hoặc tiểu luận tốt nghiệp phải đăng ký làm lại hoặc đăng ký các học phần thay thế để hoàn thành chương trình đào tạo"
10,"tích lũy đủ các học phần và số tín chỉ quy định trong chương trình đào tạo, điểm trung bình tích lũy của các học phần đạt từ 2 trở lên theo thang điểm 4. Hoàn thành các học phần điều kiện và điểm trung bình các học phần giáo dục quốc phòng an ninh phải đạt từ 5 trở lên theo thang điểm 10"
11,"hằng năm, sinh viên được xét tốt nghiệp vào tháng 1, tháng 6 và tháng 8. Sinh viên được nhận bằng tốt nghiệp 30 ngày kế từ ngày có quyết định công nhận tốt nghiệp. LỄ trao bằng tốt nghiệp được tổ chức vào tháng 4 và tháng 9; riêng các Khoa có đào tạo giáo viên tổ chức vào tháng 8."
12,"Sinh viên đăng ký xét tốt nghiệp thông qua hệ thống quản lý trực tuyến của Trường"
13,"Hội đồng xét tốt nghiệp chịu trách nhiệm xét tốt nghiệp đúng thời hạn, đúng đối tượng và đề nghị Hiệu trưởng công nhận những sinh viên đủ điều kiện tốt nghiệp"
14,"Phòng Đào tạo và Phòng Công tác Sinh viên chịu trách nhiệm thâm định và trình Hiệu trưởng ký quyêt định công nhận tôt nghiệp"
15,"Sinh viên đủ điều kiện tốt mghiệp được nhận quyết định công nhận tốt nghiệp. bảng điểm học tập toàn khóa và bằng tốt nghiệp. Sinh viên phải nộp chi phí thực hiện bản sao bằng tốt nghiệp do Trường quy định nếu có yêu cầu"
16,"Khi hết thời gian tối đa được phép học, những sinh viên không được hưởng ưu tiên theo đôi tượng quy định tại Quy chế tuyên sinh đại học, cao đăng hệ chính quy  và không đủ điều kiện tốt nghiệp sẽ bị xóa tên. Sinh viên bị xóa tên sẽ được cấp bảng điểm các học phần đã học. Riêng sinh viên còn nợ các học phần quốc phòng, an ninh hoặc thể chất, nhưng đã hết thời gian tối đa được phép học, trong thời hạn 5 năm sinh viên trở về Trường trả nợ để có đủ điều kiện xét tốt nghiệp."
17,"Bằng tốt nghiệp được cấp theo ngành đào tạo. Hạng tốt nghiệp được xác định theo điểm trung bình tích lũy. Loại xuất sắc từ 3.6 đến 4, loại giỏi từ 3.2 đến 3.59, loại khá từ 2.5 đến 3.19 và loại trung bình từ 2 đến 2.49. Ngoài ra, hạng tốt nghiệp loại xuất sắc và giỏi sẽ bị giảm một mức nếu có khối lượng các học phần bị điểm F không tính các học phần đã cải thiện điểm vượt quá 5% tổng số tín chỉ của của chương trình đào tạo hoặc đã bị kỷ luật từ mức cảnh cáo cấp Trường trong thời gian học"
18,"Sau khi có quyết định tốt nghiệp, SV liên hệ khoa quản lý ngành để thực hiện thủ tục thanh toán ra trường."
19,"Bằng tốt nghiệp chỉ cấp một lần. Trường hợp bằng tốt nghiệp bị mất hoặc bị hỏng, sinh viên có thể nộp đơn cho Trường thông qua Phòng Đào tạo đề nghị cấp bản sao bằng tốt nghiệp"